Strategy,Total Return,Ann. Return,Ann. Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Win Rate,Avg Turnover,Beta,Alpha,Info Ratio
black_litterman,0.27790711049991534,0.26857015897441494,0.28374427151428366,0.8055498627499471,1.2020572100553657,-0.1995061234993622,1.3461750159025747,0.5535055350553506,0.026069421108467945,1.331312487530449,0.12512664226189285,1.066907769419101
markowitz,0.1552573943018758,0.15192939269829764,0.32733151485236284,0.3419450545383063,0.5155727937379027,-0.22211329348680728,0.6840175583967093,0.5350553505535055,0.019128024143912094,1.529222429245205,-0.0068918062301560334,0.3637513700502217
equal_weight,0.2203556755000453,0.2051164781605932,0.29315815799553574,0.5632334412576968,0.821721607004218,-0.187795099377502,1.092235520737802,0.5461254612546126,0.0036900369003690045,1.4000785350635476,0.05632981184655317,0.7089272045660631
spy_benchmark,0.10736992483516183,0.09909670610854393,0.1923454476301179,0.3072425515481263,0.4012714867832322,-0.14696962196119576,0.6742665918723554,0.5477941176470589,0.0,1.0,0.0,0.0
